与你“团”聚|锦城百团纳新等你来!,https://mp.weixin.qq.com/s/OEckjqFnWtN0VWTZUvlDHg,2021-10-13
人人参与消防 共建平安校园,http://www.scujcc.edu.cn/info/1076/5862.htm,2021-10-13
神仙打架、谁与争锋！锦城国奖答辩现场全纪实！,https://mp.weixin.qq.com/s/LMh0auQTm70l63ye2qszNw,2021-10-12
叮～你有一份校友的家乡特产推送待接收,https://mp.weixin.qq.com/s/4tZUqxymzc009Uu-tbcxsQ,2021-10-12
在环境中坚定自己 在困难中成就自己 ——梦想演说家董仲蠡作客锦城大讲堂,http://www.scujcc.edu.cn/info/1076/5857.htm,2021-10-12
直播预告|2021年校长特别奖学金、国家奖学金、优秀学生标兵答辩会直播即将开启,https://mp.weixin.qq.com/s/dwdn-IxeQ1-xlqeDhe5yvw,2021-10-11
发挥才干 让梦腾飞 ——融创中国控股有限公司来校招聘,http://www.scujcc.edu.cn/info/1076/5854.htm,2021-10-11
快来！41位锦城国奖候选人投票通道已开启！,https://mp.weixin.qq.com/s/L6z9e11hQISJSX74_4DO4A,2021-10-10
开拓就业渠道 搭建就业平台 ——成都建工集团第六工程公司来校招聘,http://www.scujcc.edu.cn/info/1076/5848.htm,2021-10-10
关于2021年秋季学期脱贫户（原建档立卡贫困户）本专科学生特别资助在线办理有关事项的公告,https://mp.weixin.qq.com/s/O0KrM4zmMkdgy09hFu2SCw,2021-10-09
深入沟通 加强合作 ——洋葱集团一行来我校洽谈合作,http://www.scujcc.edu.cn/info/1076/5846.htm,2021-10-09
大型国有企业上市公司相继来校举办秋季专场招聘会,http://www.scujcc.edu.cn/info/1076/5844.htm,2021-10-08
假期结束，锦城等你回家,https://mp.weixin.qq.com/s/pTrLjQhCte7rph5UDLTo7w,2021-10-07
五彩斑斓的“锦城”壁纸,https://mp.weixin.qq.com/s/kTxo2v1dUaSyw-0-AX9iMQ,2021-10-07
锦城学子国庆假期生活图鉴~,https://mp.weixin.qq.com/s/3KK-40-lTFIPPjqmxjm-5g,2021-10-06
每一帧都很治愈！这就是中国的盛世美颜,https://mp.weixin.qq.com/s/M8tHSAeFTeHKb8GUgyHEaA,2021-10-06
已开始报名！2022研招统考这21个细节要搞清楚,https://mp.weixin.qq.com/s/npm5dRlctDdhtj8poY4ppA,2021-10-06
快来查收你的国庆朋友圈,https://mp.weixin.qq.com/s/G3u8M7r5RAgyS3ZxscZxkQ,2021-10-05
国庆锦城一日游,https://mp.weixin.qq.com/s/622cG_owLx6Vev2QwSxd3Q,2021-10-04
我们生在红旗下，长在春风里,https://mp.weixin.qq.com/s/xy0DxhR1ex239kHovPScEw,2021-10-03
锦城学子和家人一起为祖国献上祝福！,https://mp.weixin.qq.com/s/xosIQktGW2kQ3vIxHPrgqQ,2021-10-02
大手牵小手，“锦城”迎国庆,https://mp.weixin.qq.com/s/lpADA9hN2-OkoiQMhRxoWg,2021-10-02
祝福伟大祖国生日快乐,https://mp.weixin.qq.com/s/dqvU-m5EgL8tpNM-FbqRWA,2021-10-01
人民网、四川观察等媒体报道我校“尊师节”千名师生诵读《论语》,https://mp.weixin.qq.com/s/Z_8KsC5kZITRTFL9-QPPFQ,2021-09-29
我校劳动教育登上《中国青年报》客户端热点头条,https://mp.weixin.qq.com/s/MUVYfSxm6cLjn2nVaHhR1A,2021-09-29
我校图书馆国庆期间开馆时间通知,https://mp.weixin.qq.com/s/GCsdzd0cO451HwCsp8Kfyw,2021-09-29
备忘录！——记录当代大学生的美好生活,https://mp.weixin.qq.com/s/usNkFnTUOBuC2YI_v2ZdsQ,2021-09-27
锦城学院——美国费尔菲尔德大学第二届跨洋笔友学术交流项目总结会议暨闭幕仪式,https://mp.weixin.qq.com/s/f6WBlMEvMeny1OhcNLj3rw,2021-09-27
校级团学组织秋季招新活动正式启动,http://www.scujcc.edu.cn/info/1076/5820.htm,2021-09-27
新生有话说 | 发扬“锦城精神”，做未来主人!,https://mp.weixin.qq.com/s/kd03aQlewrD9lDKeamvn1g,2021-09-26
我校谢天开教授出席“东亚汉学研究”国际学术研讨会作论文宣讲：“《野马·尘埃》叙事的互文性刍论”,https://mp.weixin.qq.com/s/um2CDHKTPqY9Y1a7tkP5hQ,2021-09-26
我校艺术学院组织全院教师学习贯彻推进深度学习,http://www.scujcc.edu.cn/info/1076/5816.htm,2021-09-26
2022届毕业生秋季专场招聘会正式启动——中国五冶集团来校招聘,http://www.scujcc.edu.cn/info/1076/5814.htm,2021-09-25
2021年10月学生证和火车优惠卡补办通知,https://mp.weixin.qq.com/s/UUcaaUVjDeZAENv9uc0K4Q,2021-09-23
快来看看锦城的军训十二时辰！,https://mp.weixin.qq.com/s/E4Zn0gWEWpLQ_TCvkWe7NA,2021-09-23
我校多个社会实践团队获评国家级、省级重点项目,http://www.scujcc.edu.cn/info/1076/5805.htm,2021-09-23
锦城学子在第九届NCDA全国数字设计艺术大赛中获得嘉奖,https://mp.weixin.qq.com/s/xSA5axVupkIpvDMD_WIqwg,2021-09-22
跨境电商全国大赛 锦城学子初战告捷,https://mp.weixin.qq.com/s/0uPYdN97rgArt9b8wm73OQ,2021-09-22
热爱建筑 深度学习前沿科技 ——建筑学院举行2021级新生开学典礼,http://www.scujcc.edu.cn/info/1076/5785.htm,2021-09-22
锦城清辉予你，中秋团圆与你,https://mp.weixin.qq.com/s/Jw8gdtlhzH0V9EkNiJS2qw,2021-09-21
抓落实 抓贯彻 稳扎稳打推进 教师“高阶教学”促进学生“深度学习”,https://mp.weixin.qq.com/s/3gw0b4CRlbGNDD1hSgxlww,2021-09-21
规范课堂管理 营造学习氛围,https://mp.weixin.qq.com/s/aG0N_-vzeCJJRX7v9VGssA,2021-09-21
锦财学子 精彩人生 启程锦城 与财同行 ——财会学院举行2021级新生见面会暨榜样校友报告会,http://www.scujcc.edu.cn/info/1076/5786.htm,2021-09-21
强化培训，用高阶教学促进深度学习——总督办召开新学期督导学习培训会议,https://mp.weixin.qq.com/s/Plpr4yvadTBQMMKumCErOg,2021-09-20
锦城军训特辑：磨炼钢铁般的意志，我是勇敢“特种兵”！,https://mp.weixin.qq.com/s/7Va_hw7orNMg6K2BxXacQw,2021-09-20
走进高阶教学课堂 探索深度学习领域 ——电子学院隆重举行2021级新生开学典礼,http://www.scujcc.edu.cn/info/1076/5784.htm,2021-09-20
四六级考试来了！9月22日开始报名！还要注意...,https://mp.weixin.qq.com/s/c-f22J5uxsPMT1xGCQl5Ug,2021-09-19
踏上新征程 笑迎新生活 ——金融学院隆重举行2021级新生开学典礼,http://www.scujcc.edu.cn/info/1076/5783.htm,2021-09-19
听！声声警钟鸣，回荡90年！,https://mp.weixin.qq.com/s/WkpwdIWNbi9TE1cKJ3SVnQ,2021-09-18
教育部：鼓励广大师生中秋国庆就地过节！,https://mp.weixin.qq.com/s/I37SpAH9FKt_RE2O0UVxMg,2021-09-18
关于做好锦城2021级新生图像采集工作的通知,https://mp.weixin.qq.com/s/9-lWc5OGhY2csZpKVRrFwg,2021-09-18
出炉！锦城大学生的快乐榜单,https://mp.weixin.qq.com/s/na9dKYsN4qEuTyS4RGyxTg,2021-09-16
青年艺术家锦城葛玲玮现代岩彩画在上海展出,https://mp.weixin.qq.com/s/a5RAtHep6HDfvi_CBa2Y-g,2021-09-16
锦城学院考点计算机等级考试注意事项,https://mp.weixin.qq.com/s/kR45GRZyXfvl8aS_AWWUUw,2021-09-16
新生有话说 | “有学上，上好学” 给了我一次拼搏的机会,https://mp.weixin.qq.com/s/sE61I87-8-PQx5px1nQtdA,2021-09-15
快来看看正在军训的他们！,https://mp.weixin.qq.com/s/8OVf0rizNgag0IPzUZ9b2w,2021-09-14
我校金融学院在CFA协会职业道德分析挑战赛中斩获冠军,http://www.scujcc.edu.cn/info/1076/5768.htm,2021-09-14
